Shape,Result,Number,Time
<http://synthetic-LC.org/lungCancer/shapes/Protocol1>,valid,721,7.436111211776733
<http://synthetic-LC.org/lungCancer/shapes/Protocol14>,valid,5520,45.205317735672
<http://synthetic-LC.org/lungCancer/shapes/Protocol9>,violated,24041,195.74408960342407
<http://synthetic-LC.org/lungCancer/shapes/Protocol18>,valid,9312,75.27100539207458
<http://synthetic-LC.org/lungCancer/shapes/Protocol14>,violated,5163,45.20431852340698
<http://synthetic-LC.org/lungCancer/shapes/Protocol15>,valid,6544,52.58192229270935
<http://synthetic-LC.org/lungCancer/shapes/Protocol8>,valid,23649,187.54578495025635
<http://synthetic-LC.org/lungCancer/shapes/Protocol20>,valid,12662,97.90140080451965
<http://synthetic-LC.org/lungCancer/shapes/Protocol6>,violated,21151,170.37909269332886
<http://synthetic-LC.org/lungCancer/shapes/Protocol5>,valid,20721,160.50153708457947
<http://synthetic-LC.org/lungCancer/shapes/Protocol2>,valid,11829,90.28626346588135
<http://synthetic-LC.org/lungCancer/shapes/Protocol10>,valid,1484,14.99668025970459
<http://synthetic-LC.org/lungCancer/shapes/Protocol18>,valid,9370,75.27100539207458
<http://synthetic-LC.org/lungCancer/shapes/Protocol13>,valid,4714,37.57680416107178
<http://synthetic-LC.org/lungCancer/shapes/Protocol2>,valid,11768,90.28626346588135
<http://synthetic-LC.org/lungCancer/shapes/Protocol2>,valid,11904,90.28726387023926
<http://synthetic-LC.org/lungCancer/shapes/Protocol12>,violated,3059,29.86562204360962
<http://synthetic-LC.org/lungCancer/shapes/Protocol11>,valid,2323,22.435229301452637
<http://synthetic-LC.org/lungCancer/shapes/Protocol23>,valid,15137,120.61808156967163
<http://synthetic-LC.org/lungCancer/shapes/Protocol4>,violated,19004,151.5784285068512
<http://synthetic-LC.org/lungCancer/shapes/Protocol18>,valid,9289,75.27100539207458
<http://synthetic-LC.org/lungCancer/shapes/Protocol18>,valid,9749,75.2720046043396
<http://synthetic-LC.org/lungCancer/shapes/Protocol16>,violated,7171,60.15494632720947
<http://synthetic-LC.org/lungCancer/shapes/Protocol23>,valid,15502,120.61908173561096
<http://synthetic-LC.org/lungCancer/shapes/Protocol17>,valid,8502,67.79306530952454
<http://synthetic-LC.org/lungCancer/shapes/Protocol14>,valid,5992,45.20631718635559
<http://synthetic-LC.org/lungCancer/shapes/Protocol3>,valid,18328,143.4612512588501
<http://synthetic-LC.org/lungCancer/shapes/Protocol21>,violated,13041,105.72341179847717
<http://synthetic-LC.org/lungCancer/shapes/Protocol23>,valid,15429,120.61908173561096
<http://synthetic-LC.org/lungCancer/shapes/Protocol23>,valid,15125,120.61808156967163
<http://synthetic-LC.org/lungCancer/shapes/Protocol11>,valid,2666,22.43722939491272
<http://synthetic-LC.org/lungCancer/shapes/Protocol12>,valid,3304,29.866621732711792
<http://synthetic-LC.org/lungCancer/shapes/Protocol11>,valid,2787,22.43722939491272
